Emotion,Text
sadness,i didnt feel humiliated
sadness,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake
anger,im grabbing a minute to post i feel greedy wrong
anger,i am feeling grouchy
sadness,ive been feeling a little burdened lately wasnt sure why that was
fear,i feel as confused about life as a teenager or as jaded as a year old man
sadness,i feel like i have to make the suffering i m seeing mean something
anger,i think it s the easiest time of year to feel dissatisfied
sadness,i feel low energy i m just thirsty
sadness,i didnt really feel that embarrassed
sadness,i feel pretty pathetic most of the time
sadness,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties
fear,i now feel compromised and skeptical of the value of every unit of work i put in
anger,i feel irritated and rejected without anyone doing anything or saying anything
fear,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for
anger,i already feel like i fucked up though because i dont usually eat at all in the morning
sadness,i feel so inhibited in someone elses kitchen like im painting on someone elses picture
sadness,i become overwhelmed and feel defeated
anger,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp
fear,i remember feeling acutely distressed for a few days
anger,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day
anger,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed
sadness,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way
sadness,i was feeling listless from the need of new things something different
anger,i stopped feeling cold and began feeling hot
sadness,i found myself feeling a little discouraged that morning
anger,i feel selfish and spoiled
fear,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended
sadness,i feel you know basically like a fake in the realm of science fiction
sadness,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave
fear,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants
fear,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations
anger,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own
anger,i know the pain parents feel when an enraged child becomes violent
sadness,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming
