Emotion,Text
neutral,also I was the point person on my company’s transition from the KL-5 to GR-6 system.
neutral,You must’ve had your hands full.
neutral,That I did. That I did.
neutral,So let’s talk a little bit about your duties.
neutral,"Now you’ll be heading a whole division, so you’ll have a lot of duties."
neutral,I see.
neutral,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.
neutral,Good to know.
neutral,We can go into detail
fear,No don’t I beg of you!
neutral,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here."
neutral,Absolutely.  You can relax
sadness,You know? Forget it!
fear,"No, I-I-I-I don't, I actually don't know"
neutral,Ok!
neutral,"All right, well..."
neutral,"Yeah, sure!"
neutral,"Hey, Mon."
neutral,Hey-hey-hey. You wanna hear something that sucks.
joy,Do I ever.
sadness,Chris says they’re closing down the bar.
neutral,"Yeah, apparently they’re turning it into some kinda coffee place."
sadness,Got me.
neutral,Can I get a beer.
neutral,"Hey, did you pick a roommate?"
joy,You betcha!
neutral,Is it the Italian guy?
joy,"Um-mm, yeah right!"
neutral,He was with her when he wrote this poem.
neutral,"Look,  'My vessel so empty with nothing inside."
neutral,"Now that I've touched you, you seem emptier still.'"
sadness,"Oh, totally. Oh, God, oh, she seemed so happy too."
neutral,Done.
joy,Hi!
neutral,"Ah y'know, this building is on my paper route so I..."
neutral,Oh.
neutral,Hi.
neutral,Hi.
neutral,How’d did it go?
joy,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up."
joy,I’m so proud of you.
joy,Me too!
sadness,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so..."
neutral,I know.
neutral,Yeah.
neutral,Yeah.
neutral,Ameri-can.
neutral,Ameri-ccan.
neutral,Ameri-can. Y'know it’s a
joy,Good job Joe! Well done! Top notch!
joy,"Oh-ho-ho, yeah!"
neutral,Which part exactly?
neutral,The whole thing! Can we go?
anger,"Oh no-no-no, give me some specifics."
joy,"I love the specifics, the specifics were the best part!"
neutral,"Hey, what about the scene with the kangaroo? Did-did you like that part?"
anger,You fell asleep!!
anger,There was no kangaroo!
anger,They didn’t take any of my suggestions!
neutral,That’s for coming buddy.
neutral,I’ll see you later.
sadness,Don’t go!
sadness,I’m sorry.
sadness,I’m so sorry!
anger,This guy fell asleep!
anger,He fell asleep too!
anger,Be mad at him!
anger,"Or, call an ambulance."
neutral,"Okay, look, I think we have to tell Rachel she messed up her dessert."
anger,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!"
neutral,"Yes, and it is my dying wish to have that ring."
neutral,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity"
neutral,"Okay, that’s enough honey!"
neutral,I don’t know.  Let me see the ring.
joy,"Great! Okay, here."
neutral,All right.
joy,Thank you. Thank you. Thank you!  And
neutral,What've you been up to?
neutral,"Oh, you know, the usual, teaching aerobics, partying way too much."
neutral,"Oh, and in case you were wondering, those are my legs on the new James Bond poster."
joy,Can you hold on a moment? I have another call.  I love her.
neutral,I know.
neutral,I'm back.
neutral,"So, are we gonna get together or what?"
neutral,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?"
neutral,"Great, I'll see you then."
joy,Ok.  Ok. Having a phone has finally paid off.
neutral,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."""
neutral,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table."
anger,"Ok, pure evil , horny and alone . I've done this"
anger,Nobody!
anger,Nobody respects the bucket!
anger,You wouldn't believe what people put in here!
anger,Look!
anger,"Okay, does this look like a garbage can to you?"
neutral,No.
neutral,This is my wedding.
anger,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!"
neutral,Fine. You’ll-you’ll watch it on video when we get back.
joy,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.
neutral,Thank you.
neutral,Thank you.
joy,"All right, let’s go! Bye, Pheebs!"
joy,"Bye, Pheebs!"
joy,London baby!!
joy,"Oh, do you need a hug? You don’t have to bring me anything!"
neutral,Hey!
joy,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.
neutral,Nothing!
fear,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since."
neutral,"But um, I don’t think it’s anything serious."
fear,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!"
anger,Why did I have to start working out again?  Damn you 15s!
joy,I love your place! Where is this guy from?
neutral,Uh that’s an eighteenth century Indian artifact from Calcutta.
neutral,So much more.
neutral,"Well, well to sum up, we’re having fun, you look young."
neutral,Okay
neutral,But that’s not enough. So… So…here’s a key to my apartment.
neutral,Really.
neutral,You don’t think this is too fast.
anger,Get Out!
neutral,"Ross, can I talk to you for a minute?"
neutral,"Yes, please!  So, what's going on?"
sadness,"Uh, well... Joey and I broke up."
sadness,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!"
anger,I knew that was him!
sadness,"Anyway I just, uh, I think it's for the best."
neutral,"Hey, you ok?"
sadness,I guess.
neutral,There was hum...  there was another reason that I thought it was time to end it with Joey.
neutral,I started to realize that I was having feelings for someone  else.
neutral,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker."
neutral,"Oh, professor Clerk we're kind of in the middle of a conversation, here."
neutral,"Yeah, can you guys just throw him in the pool later?"
joy,Or we could throw you both in
anger,"Ok, gentlemen!"
anger,Please!
anger,Aren't we a little old for this?
neutral,"I mean, we're scientists, right?"
anger,We're academics.
joy,And most importantly I... you-you will have to catch us first.
joy,"GO, GO, GO!"
joy,"Go, go, go!"
joy,"Oh yeah, now everybody wants to be under this hat!"
neutral,"Oh, yeah, Bob said there might be flood damage."
neutral,"Yeah, either that, or he has a really big cat."
anger,"Okay, see that blind guy right there? I'm gonna bash his head in later."
joy,"Oh umm, my big scene is coming up. Big scene coming up."
neutral,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?"
neutral,Rach? What are you doing?
fear,"Oh boy, I just can't watch. It's too scary!"
neutral,It's a diaper commercial.
fear,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!"
joy,Pizza delivery!
joy,I'll get it! I will get that!
joy,Hi!
joy,Hi!
